emp_no,dept_name,first_name,last_name,birth_date,from_date,to_date,title
73516,Production,Qingxiang,Badache,1965-01-14,1989-06-25,9999-01-01,Senior Engineer
73743,Customer Service,Anneke,Bernardeschi,1965-01-15,2000-10-15,9999-01-01,Engineer
74200,Production,Holgard,Weiland,1965-01-16,1991-09-24,9999-01-01,Senior Engineer
74344,Development,Hiroyasu,Provine,1965-02-01,1994-11-25,9999-01-01,Engineer
74668,Sales,Masako,Bonifati,1965-01-01,1987-04-09,9999-01-01,Senior Staff
74800,Production,Yuuichi,Conde,1965-01-25,1989-03-08,9999-01-01,Assistant Engineer
75354,Development,Shuky,Jakobus,1965-01-11,1986-06-16,9999-01-01,Engineer
75703,Development,Kyoichi,Erman,1965-01-08,1996-07-25,9999-01-01,Senior Engineer
76189,Production,Kolar,Hinsberger,1965-01-02,1986-10-20,9999-01-01,Engineer
76201,Development,Arif,Preusig,1965-01-10,1992-04-02,9999-01-01,Senior Engineer
76640,Quality Management,Tristan,Mitsuhashi,1965-01-02,1994-07-13,9999-01-01,Engineer
77030,Development,Faiza,Garnham,1965-01-02,1986-03-02,9999-01-01,Technique Leader
77303,Customer Service,Xinglin,Birge,1965-01-18,1992-03-05,9999-01-01,Staff
77647,Production,Niranjan,Schaaf,1965-01-07,1989-11-05,9999-01-01,Technique Leader
77815,Development,Ronghao,Picaronny,1965-01-21,1993-06-09,9999-01-01,Engineer
78106,Marketing,Ashish,Ratnaker,1965-01-09,2000-01-17,9999-01-01,Senior Staff
78363,Quality Management,Susumu,Fritzsche,1965-01-03,1998-06-23,9999-01-01,Engineer
78469,Human Resources,Leucio,Cappelli,1965-01-28,1997-08-22,9999-01-01,Staff
78871,Development,Conor,Ghandeharizadeh,1965-01-15,1985-05-25,9999-01-01,Senior Engineer
79043,Production,Katsuo,Hockney,1965-01-24,1999-11-07,9999-01-01,Technique Leader
79171,Production,Guiseppe,Ellozy,1965-01-19,1991-01-12,9999-01-01,Senior Engineer
79310,Marketing,Jeong,Cunliffe,1965-01-24,1996-10-27,9999-01-01,Senior Staff
79606,Development,Arnd,Peir,1965-01-03,1986-12-11,9999-01-01,Senior Engineer
79763,Marketing,Sanjoy,Barreiro,1965-01-20,1988-04-09,9999-01-01,Staff
79895,Sales,Fei,Murtagh,1965-01-30,1986-01-19,9999-01-01,Senior Staff
80067,Customer Service,Kazuhisa,Weiland,1965-01-19,1985-11-09,9999-01-01,Senior Staff
80203,Sales,Shakhar,Baik,1965-01-22,1993-12-01,9999-01-01,Staff
80432,Research,Stella,Figueira,1965-01-17,1990-03-14,9999-01-01,Staff
80731,Sales,Shaowen,Eldridge,1965-01-25,1987-12-05,9999-01-01,Senior Staff
80850,Production,Koldo,Luit,1965-02-01,1995-04-16,9999-01-01,Senior Engineer
80889,Development,Shigeo,Linnainmaa,1965-01-07,1985-07-30,9999-01-01,Senior Engineer
80948,Development,Harjit,Bardell,1965-01-27,1991-05-24,9999-01-01,Engineer
81105,Development,Jaewon,Boissier,1965-01-14,1992-05-24,9999-01-01,Senior Engineer
81545,Development,Larisa,Kornyak,1965-01-13,2000-02-07,9999-01-01,Technique Leader
81644,Sales,Divine,Ghandeharizadeh,1965-01-05,1997-11-28,9999-01-01,Staff
81995,Development,Sreekrishna,Brender,1965-01-10,1990-03-22,9999-01-01,Senior Engineer
82069,Production,Yechezkel,Perfilyeva,1965-01-20,1994-11-03,9999-01-01,Senior Engineer
82098,Production,Poornachandra,Wilharm,1965-01-25,1991-04-20,9999-01-01,Engineer
82351,Human Resources,Stevo,Thambidurai,1965-01-26,1989-10-27,9999-01-01,Senior Staff
82511,Development,Uwe,Koblick,1965-01-27,1998-04-04,9999-01-01,Engineer
82919,Development,Shigeu,Claffy,1965-01-05,1998-12-19,9999-01-01,Engineer
82928,Development,Alselm,Rikino,1965-01-27,1990-11-16,9999-01-01,Engineer
83280,Production,Francesca,Ellozy,1965-01-07,1999-08-08,9999-01-01,Senior Engineer
83289,Development,Shigeichiro,Engelmann,1965-01-09,1994-01-09,9999-01-01,Senior Engineer
83509,Development,Breannda,Collavizza,1965-01-04,1989-10-12,9999-01-01,Senior Engineer
83544,Sales,Leaf,Baak,1965-01-18,1994-09-05,9999-01-01,Staff
83714,Customer Service,Ohad,Kilgore,1965-01-27,2000-10-10,9999-01-01,Engineer
83805,Development,Manohar,Harllee,1965-01-23,1987-03-11,9999-01-01,Senior Engineer
83941,Research,Zsolt,Hagimont,1965-01-11,1996-10-08,9999-01-01,Staff
84029,Customer Service,Babette,Eugenio,1965-01-27,1997-09-21,9999-01-01,Staff
84179,Production,Shuichi,Nanard,1965-01-25,1989-03-14,9999-01-01,Senior Engineer
84236,Sales,Eberhardt,Barriga,1965-01-18,1987-06-04,9999-01-01,Staff
84315,Development,Kristina,Baumann,1965-01-23,1996-09-26,9999-01-01,Assistant Engineer
84451,Development,Shiv,Aumann,1965-01-20,1998-06-14,9999-01-01,Senior Engineer
84508,Development,Tommaso,Vidya,1965-01-17,1998-05-02,9999-01-01,Engineer
84840,Research,Sverrir,Neimat,1965-01-14,1996-11-03,9999-01-01,Staff
84922,Development,Parke,Unno,1965-01-22,1996-07-01,9999-01-01,Engineer
84942,Quality Management,Shin,Fujisaki,1965-01-15,1988-02-23,9999-01-01,Technique Leader
85216,Finance,Ferdinand,Rosiles,1965-01-18,1997-07-08,9999-01-01,Senior Staff
85288,Quality Management,Younwoo,Luders,1965-01-06,1998-12-08,9999-01-01,Senior Engineer
85414,Finance,Chiradeep,Callaway,1965-01-14,1999-07-30,9999-01-01,Staff
85445,Sales,Yongdong,Pollock,1965-01-09,1998-03-17,9999-01-01,Staff
85702,Quality Management,Udi,Merks,1965-01-04,1997-08-15,9999-01-01,Engineer
85874,Customer Service,Pasqua,Taubman,1965-01-30,1986-06-23,9999-01-01,Senior Staff
86213,Marketing,Kristine,Clemencon,1965-01-28,1993-06-01,9999-01-01,Staff
86354,Development,Ronghao,Segond,1965-01-27,1993-09-13,9999-01-01,Senior Engineer
86422,Marketing,Jaewon,Thummel,1965-02-01,1985-09-14,9999-01-01,Senior Staff
86546,Production,Oldrich,Woycyznski,1965-01-09,1985-05-15,9999-01-01,Senior Engineer
86655,Production,Zhenhua,Lorys,1965-01-01,1995-08-21,9999-01-01,Engineer
86672,Research,JoAnne,Anido,1965-01-15,1995-09-15,9999-01-01,Staff
87129,Sales,Keung,Neiman,1965-01-16,1997-04-13,9999-01-01,Staff
87353,Development,Quingbo,Coombs,1965-01-07,1999-01-17,9999-01-01,Senior Engineer
87714,Production,Khun,Janetzko,1965-01-16,1989-09-13,9999-01-01,Engineer
87729,Research,Yongmin,Roccetti,1965-01-24,1986-12-10,9999-01-01,Staff
87783,Development,Conor,Thorensen,1965-01-26,1988-02-24,9999-01-01,Senior Engineer
88103,Sales,Goo,Bresenham,1965-01-09,1999-01-31,9999-01-01,Senior Staff
88411,Development,Lena,Cannane,1965-01-31,2000-01-28,9999-01-01,Engineer
88422,Production,Jungsoon,Birsak,1965-01-28,1985-04-03,9999-01-01,Technique Leader
88647,Development,Vasiliy,Ratnaker,1965-01-10,1995-08-09,9999-01-01,Engineer
88958,Finance,Vojin,Coombs,1965-01-22,1995-07-23,9999-01-01,Staff
88965,Development,Mang,Hedayat,1965-01-20,1995-05-22,9999-01-01,Engineer
89048,Development,Otmar,Birjandi,1965-01-24,1985-03-23,9999-01-01,Senior Engineer
89090,Human Resources,Tetsushi,Theuretzbacher,1965-01-26,1990-02-01,9999-01-01,Staff
89161,Finance,Conal,Yetto,1965-01-07,1991-01-12,9999-01-01,Staff
89207,Human Resources,Along,Erol,1965-01-15,1992-10-16,9999-01-01,Senior Staff
89346,Development,Mansur,Comyn,1965-01-13,1999-08-31,9999-01-01,Engineer
89590,Research,Guther,Rothenberg,1965-01-27,1991-08-08,9999-01-01,Senior Staff
89664,Marketing,Pranjal,Rossi,1965-01-20,1998-07-07,9999-01-01,Staff
89680,Production,Aiman,Mawatari,1965-01-27,1988-05-01,9999-01-01,Senior Engineer
89806,Production,Xiadong,Shinomoto,1965-01-27,1997-05-24,9999-01-01,Senior Engineer
89922,Production,Alexius,Ibel,1965-01-26,1988-04-24,9999-01-01,Engineer
89941,Marketing,Arnould,Weedman,1965-01-23,1989-07-28,9999-01-01,Senior Staff
90077,Development,Vivian,Guerreiro,1965-01-24,1991-07-08,9999-01-01,Engineer
90084,Production,Renny,Bale,1965-01-01,1989-11-22,9999-01-01,Senior Engineer
90211,Production,Bader,Denis,1965-01-15,1997-10-06,9999-01-01,Engineer
90292,Production,Koichi,Assaf,1965-01-09,1990-05-26,9999-01-01,Engineer
90518,Customer Service,Fumiko,Chepyzhov,1965-01-24,1988-01-28,9999-01-01,Senior Staff
90614,Production,Yonghoan,Trogemann,1965-01-29,1988-09-23,9999-01-01,Engineer
90692,Marketing,Rajmohan,DasSarma,1965-01-03,1985-09-14,9999-01-01,Senior Staff
91172,Customer Service,Kazuhisa,Melter,1965-01-19,1987-07-16,9999-01-01,Senior Staff
91182,Development,Lucien,Schwartzburd,1965-01-04,1988-08-25,9999-01-01,Senior Engineer
91229,Production,Yahiko,Hebden,1965-01-01,1996-10-03,9999-01-01,Senior Engineer
91256,Marketing,Gunilla,Milicic,1965-01-13,1998-01-09,9999-01-01,Staff
91333,Sales,Lobel,Stafford,1965-01-27,1998-11-29,9999-01-01,Staff
91415,Sales,Jamaludin,Nilsson,1965-01-04,1987-01-15,9999-01-01,Staff
91648,Marketing,Dmitry,Msuda,1965-01-29,1988-10-22,9999-01-01,Staff
92438,Customer Service,Aria,Kilgore,1965-01-04,1992-04-11,9999-01-01,Senior Engineer
92454,Quality Management,Visit,McFarlan,1965-01-24,1987-10-22,9999-01-01,Senior Engineer
92577,Production,Zhanqiu,Farrow,1965-01-06,1999-01-10,9999-01-01,Assistant Engineer
92598,Production,Ranga,Merro,1965-01-18,1996-05-11,9999-01-01,Assistant Engineer
92685,Sales,Mang,Atchley,1965-01-26,1995-06-07,9999-01-01,Senior Staff
92841,Sales,Claude,Candan,1965-01-22,1993-08-04,9999-01-01,Senior Staff
92846,Marketing,Anyuan,Kropatsch,1965-01-11,1986-09-05,9999-01-01,Senior Staff
92920,Development,Huei,Hutter,1965-01-20,1993-01-28,9999-01-01,Senior Engineer
93040,Development,Jaques,Kabayashi,1965-01-19,1992-03-13,9999-01-01,Senior Engineer
93220,Quality Management,Richara,Walston,1965-01-11,1996-08-27,9999-01-01,Senior Engineer
93278,Production,Magdalena,Penn,1965-02-01,1997-01-04,9999-01-01,Senior Engineer
93549,Sales,Arie,Coullard,1965-02-01,2000-03-28,9999-01-01,Staff
93600,Production,Kristina,Neimat,1965-01-13,1988-04-18,9999-01-01,Technique Leader
94331,Production,Ramzi,Cronau,1965-01-26,1999-09-03,9999-01-01,Technique Leader
94416,Sales,Aran,Cesareni,1965-01-01,2001-11-20,9999-01-01,Senior Staff
94761,Development,Hitofumi,Zaccaria,1965-01-27,1988-11-22,9999-01-01,Senior Engineer
94944,Development,Heping,Matheson,1965-01-13,1988-06-24,9999-01-01,Engineer
95181,Research,Yishai,Cappelli,1965-01-28,1997-01-30,9999-01-01,Staff
95286,Development,Kristin,Guerreiro,1965-01-18,1989-08-23,9999-01-01,Engineer
95314,Sales,Rasiah,Koblick,1965-01-22,1991-08-21,9999-01-01,Staff
95406,Development,Alair,Lyonns,1965-01-08,1997-07-12,9999-01-01,Engineer
95416,Development,Gianluca,Ramaiah,1965-01-13,1993-11-29,9999-01-01,Engineer
95509,Production,Kristinn,Loncour,1965-01-11,1995-02-08,9999-01-01,Engineer
95920,Finance,Nobuyoshi,Hegner,1965-01-19,1994-09-07,9999-01-01,Staff
96571,Production,Kokou,Garrabrants,1965-01-13,1997-11-05,9999-01-01,Senior Engineer
96579,Production,Mohan,Tasistro,1965-01-18,1996-02-10,9999-01-01,Engineer
96767,Production,Arumugam,Vecchio,1965-01-07,1985-08-14,9999-01-01,Engineer
97018,Production,Jeanna,Chinen,1965-01-09,1989-01-01,9999-01-01,Engineer
97623,Human Resources,Haldon,Janetzko,1965-01-25,1990-09-11,9999-01-01,Staff
97661,Research,Avishai,Hegner,1965-01-31,1993-05-08,9999-01-01,Staff
98288,Research,Sumali,Huttel,1965-01-12,1989-09-12,9999-01-01,Staff
98306,Production,Ziya,Kadhim,1965-01-16,1999-06-24,9999-01-01,Senior Engineer
98639,Research,Florina,Assaf,1965-01-29,1996-05-18,9999-01-01,Staff
99057,Customer Service,Shugo,Reeken,1965-01-30,1999-06-21,9999-01-01,Staff
99373,Customer Service,Xiaobin,Christianini,1965-01-13,1985-12-25,9999-01-01,Staff
99377,Development,Carrsten,Francisci,1965-01-18,1991-06-16,9999-01-01,Senior Engineer
99590,Sales,Dhritiman,Anily,1965-01-24,1998-12-16,9999-01-01,Staff
99654,Research,Mahendra,Motley,1965-01-30,1985-09-28,9999-01-01,Senior Staff
100865,Production,Hisao,Peral,1965-01-19,1990-10-03,9999-01-01,Senior Engineer
100916,Development,Heejo,Aamodt,1965-01-18,1992-04-22,9999-01-01,Senior Engineer
101487,Sales,Abdelaziz,Sury,1965-01-14,1991-01-31,9999-01-01,Staff
101647,Sales,Mori,Homond,1965-01-22,1994-05-10,9999-01-01,Staff
101902,Sales,Mantis,Millington,1965-01-14,1991-03-18,9999-01-01,Staff
102620,Quality Management,Adin,Templeman,1965-01-03,1999-08-12,9999-01-01,Engineer
103196,Human Resources,Djenana,Albarhamtoshy,1965-01-16,1988-07-16,9999-01-01,Staff
103310,Marketing,Visit,Swen,1965-01-07,1995-10-02,9999-01-01,Senior Staff
103316,Development,Susanne,Peternell,1965-01-03,1994-07-27,9999-01-01,Senior Engineer
103342,Quality Management,Beshir,Hellwagner,1965-01-03,1998-02-03,9999-01-01,Engineer
103756,Development,Heping,Halloran,1965-01-31,1992-04-08,9999-01-01,Engineer
104133,Sales,Pranjal,Zyda,1965-01-31,1991-07-03,9999-01-01,Staff
104845,Finance,Werner,Lodder,1965-01-29,1992-06-17,9999-01-01,Senior Staff
104988,Development,Parviz,Litzler,1965-01-07,1992-08-08,9999-01-01,Engineer
105342,Quality Management,Kwun,Reeker,1965-01-01,1999-07-29,9999-01-01,Technique Leader
105356,Research,Diederik,Matzov,1965-01-29,1995-03-08,9999-01-01,Senior Engineer
105432,Development,Mohamadou,Stafford,1965-01-08,1995-09-12,9999-01-01,Senior Engineer
105520,Sales,Haldun,Lienhardt,1965-01-01,1987-01-29,9999-01-01,Senior Staff
105731,Development,Sachem,Cromarty,1965-01-15,1990-08-20,9999-01-01,Engineer
106096,Production,Naftali,Schurmann,1965-01-14,1992-12-02,9999-01-01,Senior Engineer
106242,Human Resources,Nevio,Thisen,1965-02-01,1988-03-25,9999-01-01,Staff
106695,Development,Lijie,Garrabrants,1965-01-31,1988-10-26,9999-01-01,Staff
106710,Marketing,Babette,Anandan,1965-01-31,1986-11-22,9999-01-01,Staff
107486,Development,Siamak,Luiz,1965-01-23,1987-02-11,9999-01-01,Senior Engineer
107737,Development,Fabrizio,Chleq,1965-01-23,1999-07-31,9999-01-01,Senior Engineer
107792,Marketing,Shahab,Crooks,1965-01-13,1992-03-18,9999-01-01,Staff
107828,Sales,Ramya,Walston,1965-01-26,1989-02-03,9999-01-01,Senior Staff
108091,Customer Service,Hisao,Ghemri,1965-01-09,1985-11-14,9999-01-01,Staff
108198,Research,Randi,Samarati,1965-01-24,1992-10-20,9999-01-01,Staff
108316,Production,Shai,Stellhorn,1965-01-02,1992-05-21,9999-01-01,Senior Engineer
108988,Sales,Oksana,Baek,1965-01-19,1989-07-20,9999-01-01,Staff
109062,Development,Jamaludin,Kandlur,1965-02-01,1992-06-19,9999-01-01,Senior Engineer
109211,Research,Gor,Delgrande,1965-01-11,2002-06-18,9999-01-01,Engineer
109252,Production,Moty,Winter,1965-01-15,1991-04-28,9999-01-01,Technique Leader
109278,Finance,Bangqing,Schach,1965-01-21,1988-03-22,9999-01-01,Staff
109552,Development,Menkae,Etalle,1965-01-31,1997-05-21,9999-01-01,Engineer
109598,Finance,Stamatina,Auyong,1965-02-01,1988-07-05,9999-01-01,Senior Staff
109620,Sales,Mani,Cannata,1965-01-02,1989-06-21,9999-01-01,Senior Staff
109703,Production,Arco,Walston,1965-01-17,1999-08-16,9999-01-01,Engineer
109741,Production,Hatem,Fadgyas,1965-01-11,1991-11-13,9999-01-01,Senior Engineer
109953,Sales,Godehard,Chorvat,1965-01-26,1988-04-10,9999-01-01,Senior Staff
200267,Customer Service,Chuanti,Luff,1965-01-08,1994-09-21,9999-01-01,Staff
200312,Quality Management,Akemi,Fujisaki,1965-01-27,2001-11-13,9999-01-01,Senior Engineer
200363,Development,Kirk,Quaggetto,1965-01-10,1987-06-30,9999-01-01,Engineer
200735,Marketing,Dinah,Denos,1965-01-09,1992-09-21,9999-01-01,Staff
200789,Marketing,Susumu,Camurati,1965-01-14,1991-12-15,9999-01-01,Staff
201229,Human Resources,Alejandra,Khasidashvili,1965-01-03,1994-07-30,9999-01-01,Staff
201708,Human Resources,Anneli,Perl,1965-01-15,1992-09-08,9999-01-01,Senior Staff
201709,Finance,Fan,Kakkad,1965-01-01,1988-02-25,9999-01-01,Senior Staff
201739,Development,Genta,Terekhov,1965-01-16,1998-07-21,9999-01-01,Assistant Engineer
201801,Development,Waiman,Genin,1965-01-12,1988-10-30,9999-01-01,Engineer
201915,Production,Sudharsan,DeMori,1965-01-02,1992-03-30,9999-01-01,Senior Engineer
202291,Production,Ortrun,Schmiedel,1965-01-16,1997-07-18,9999-01-01,Engineer
202403,Production,Gully,Perko,1965-01-09,1999-07-07,9999-01-01,Engineer
202414,Customer Service,Zvonko,Murthy,1965-01-13,1992-01-07,9999-01-01,Senior Staff
202552,Production,Morris,Saoudi,1965-01-05,1991-11-22,9999-01-01,Senior Engineer
202826,Development,Kerhong,Matzke,1965-01-19,1986-11-14,9999-01-01,Senior Engineer
202882,Development,Isaac,Koshino,1965-01-25,1995-09-28,9999-01-01,Senior Engineer
202950,Human Resources,Giordano,Pietrzykowski,1965-01-17,1987-03-26,9999-01-01,Senior Staff
203474,Sales,Hugh,Jonsson,1965-01-03,1991-07-06,9999-01-01,Staff
203495,Development,Zongyan,Gips,1965-01-02,1997-05-31,9999-01-01,Technique Leader
203599,Development,Ewing,DiGiano,1965-01-21,2000-02-01,9999-01-01,Technique Leader
203720,Sales,Sasan,Thimonier,1965-01-30,1996-08-21,9999-01-01,Senior Staff
203946,Human Resources,Yefim,Marwedel,1965-01-23,1993-03-30,9999-01-01,Staff
204117,Customer Service,Jessie,Nooteboom,1965-01-10,2000-12-13,9999-01-01,Staff
204133,Finance,Susuma,Bergere,1965-01-22,1996-02-25,9999-01-01,Senior Staff
204246,Research,Arve,Worfolk,1965-01-09,1985-04-01,9999-01-01,Staff
204425,Development,Gretta,Huttel,1965-01-03,1990-10-08,9999-01-01,Senior Engineer
204470,Customer Service,Hein,Lichtner,1965-01-22,1998-05-02,9999-01-01,Staff
204471,Development,Franziska,Maginnis,1965-01-27,1986-02-17,9999-01-01,Senior Engineer
204764,Development,Susanne,Mandelberg,1965-01-22,1990-11-02,9999-01-01,Engineer
205018,Quality Management,Yahiko,Awdeh,1965-01-26,1998-08-05,9999-01-01,Engineer
205085,Development,Moni,Kornyak,1965-01-23,1991-09-26,9999-01-01,Technique Leader
205174,Marketing,Leszek,Spinelli,1965-01-05,1998-12-10,9999-01-01,Staff
205500,Development,Mary,Setiz,1965-01-04,1989-01-13,9999-01-01,Senior Engineer
205627,Production,Stabislas,Broder,1965-01-21,1996-07-16,9999-01-01,Senior Engineer
205660,Marketing,Kien,Barreiro,1965-01-27,2000-10-24,9999-01-01,Staff
205699,Sales,Youjian,Yetto,1965-01-31,1994-12-07,9999-01-01,Senior Staff
205789,Finance,Limsoon,Skafidas,1965-01-31,1999-08-10,9999-01-01,Senior Staff
205863,Quality Management,Aiichiro,Kusalik,1965-01-06,1990-10-04,9999-01-01,Senior Engineer
206748,Sales,Yucai,Fabrizio,1965-01-07,1999-10-06,9999-01-01,Staff
206836,Research,Guadalupe,Pfau,1965-01-12,1993-03-22,9999-01-01,Staff
206966,Development,Tzu,Sichman,1965-01-21,1987-11-17,9999-01-01,Engineer
207021,Production,Jacqueline,Akaboshi,1965-01-20,1997-12-06,9999-01-01,Engineer
207068,Marketing,Zhiguo,Ariola,1965-01-13,1994-09-07,9999-01-01,Senior Staff
207204,Development,Kellie,Schrooten,1965-01-25,1991-01-17,9999-01-01,Assistant Engineer
207401,Research,Shuji,Barbanera,1965-01-04,1987-08-10,9999-01-01,Staff
207551,Development,Baziley,Falck,1965-01-15,1995-02-18,9999-01-01,Assistant Engineer
207779,Research,Chinya,Kamble,1965-01-16,1992-05-31,9999-01-01,Senior Staff
207980,Human Resources,Remko,Vieth,1965-01-07,1990-11-22,9999-01-01,Staff
208147,Development,Manu,Rothenberg,1965-01-09,1988-12-06,9999-01-01,Senior Engineer
208330,Sales,Shen,Flanders,1965-01-11,1989-07-03,9999-01-01,Staff
208639,Customer Service,Larisa,Lukaszewicz,1965-01-27,1996-10-30,9999-01-01,Staff
208653,Development,Phillip,Schade,1965-01-23,1989-03-03,9999-01-01,Engineer
208784,Production,Pranjal,Juneja,1965-01-30,1985-03-21,9999-01-01,Senior Engineer
209101,Quality Management,Xinyu,Edelhoff,1965-01-05,1997-10-26,9999-01-01,Senior Engineer
209443,Human Resources,Krassimir,Garnier,1965-01-19,1998-01-26,9999-01-01,Senior Staff
209565,Marketing,Dante,Covnot,1965-01-09,1989-05-28,9999-01-01,Senior Staff
209712,Development,Nimmagadda,Baak,1965-01-17,1987-10-30,9999-01-01,Engineer
210017,Human Resources,Shalesh,Lovengreen,1965-01-28,1990-09-29,9999-01-01,Staff
210292,Human Resources,Lihong,Zeilberger,1965-01-18,1996-04-28,9999-01-01,Staff
210449,Production,Gino,Lagarias,1965-01-19,1997-06-22,9999-01-01,Engineer
210752,Marketing,Saniya,Stenning,1965-01-25,1986-12-10,9999-01-01,Staff
210786,Human Resources,Werner,Ranze,1965-01-31,1998-06-05,9999-01-01,Staff
211858,Production,Domenico,Ratnaker,1965-01-08,1985-03-24,9999-01-01,Senior Engineer
211879,Development,Gao,Ranze,1965-01-12,1994-11-24,9999-01-01,Engineer
211967,Development,Anwar,Bain,1965-01-07,1989-01-22,9999-01-01,Engineer
212093,Human Resources,Leni,Henders,1965-01-11,1993-11-19,9999-01-01,Staff
212154,Customer Service,Sailaja,Holburn,1965-01-17,1991-03-04,9999-01-01,Senior Staff
212361,Quality Management,Claudi,Stanfel,1965-01-16,1996-01-07,9999-01-01,Engineer
213016,Development,Yongmao,Fontan,1965-01-22,1993-07-26,9999-01-01,Senior Engineer
213140,Sales,Tru,Danecki,1965-01-10,1997-03-31,9999-01-01,Staff
213384,Development,Pranas,Narwekar,1965-01-04,1985-09-26,9999-01-01,Engineer
213447,Production,Armond,Perly,1965-02-01,1989-09-14,9999-01-01,Senior Engineer
214215,Sales,Xiaoqiang,Cardazo,1965-01-25,1993-05-28,9999-01-01,Senior Staff
214391,Customer Service,Rayond,Klassen,1965-01-15,1993-09-11,9999-01-01,Staff
214427,Production,Peer,Molberg,1965-01-29,1996-11-17,9999-01-01,Engineer
214539,Development,Ingmar,Kohling,1965-01-27,1995-04-25,9999-01-01,Engineer
214634,Development,Shirish,Vickson,1965-01-12,1989-10-24,9999-01-01,Engineer
214789,Production,Arfst,Chepyzhov,1965-01-28,1989-02-06,9999-01-01,Engineer
214866,Development,Gopalakrishnan,Angel,1965-02-01,1997-07-05,9999-01-01,Senior Engineer
214995,Production,Dinkar,Hoppenstand,1965-01-12,1994-05-04,9999-01-01,Engineer
215419,Human Resources,Flemming,Kroha,1965-01-16,1995-01-23,9999-01-01,Staff
215629,Customer Service,Munehiro,Manders,1965-01-15,1987-05-18,9999-01-01,Senior Staff
215746,Finance,Sven,Speer,1965-01-08,1999-07-08,9999-01-01,Staff
215843,Marketing,Pramod,Loncour,1965-01-30,1987-03-31,9999-01-01,Senior Staff
216054,Research,Sahrah,Angiulli,1965-01-24,1986-07-31,9999-01-01,Senior Staff
216342,Development,Aiichiro,Cromarty,1965-01-22,1995-06-10,9999-01-01,Senior Engineer
216375,Development,Byong,Gustavson,1965-01-16,1985-03-12,9999-01-01,Senior Engineer
216502,Development,Xiaocheng,Suermann,1965-01-26,1997-12-15,9999-01-01,Engineer
216573,Production,Ashish,Vidya,1965-01-29,1989-06-16,9999-01-01,Senior Engineer
216921,Sales,Lena,Lenart,1965-01-22,1990-12-25,9999-01-01,Senior Staff
217026,Sales,Otmar,Engberts,1965-01-11,1993-08-16,9999-01-01,Senior Staff
217080,Development,Masami,Puoti,1965-01-12,2000-01-21,9999-01-01,Senior Engineer
217272,Sales,Yuchang,Eldridge,1965-01-21,1986-08-01,9999-01-01,Staff
217286,Development,Yannik,Spelt,1965-01-05,1992-09-22,9999-01-01,Technique Leader
217320,Quality Management,Abdelwaheb,Denis,1965-01-10,1993-09-10,9999-01-01,Engineer
217363,Customer Service,Horward,Marzano,1965-01-14,1996-04-11,9999-01-01,Staff
217387,Development,Jianhao,Molenaar,1965-01-21,1987-10-22,9999-01-01,Senior Engineer
217551,Production,Panayotis,Lukaszewicz,1965-01-02,1989-06-06,9999-01-01,Senior Engineer
217800,Finance,Shay,Servieres,1965-02-01,1998-08-06,9999-01-01,Senior Staff
218022,Development,Mokhtar,Poupard,1965-01-26,1992-02-02,9999-01-01,Technique Leader
218100,Human Resources,Jiong,Garnham,1965-01-24,1990-01-02,9999-01-01,Staff
218831,Production,Unal,DuBourdieux,1965-01-16,1996-03-13,9999-01-01,Engineer
219035,Quality Management,Kristine,Bierman,1965-01-18,1988-05-13,9999-01-01,Technique Leader
219047,Development,Aemilian,Kusalik,1965-01-30,1987-05-27,9999-01-01,Senior Engineer
219052,Marketing,Marsal,Acton,1965-01-06,1995-08-02,9999-01-01,Staff
219417,Research,Subhrajyoti,Denna,1965-01-29,1996-07-25,9999-01-01,Staff
219497,Development,Moie,Zastre,1965-01-22,1991-10-11,9999-01-01,Technique Leader
219967,Human Resources,Susanna,Reeken,1965-01-16,1998-03-16,9999-01-01,Senior Staff
220029,Development,Demos,Asser,1965-01-17,1985-11-04,9999-01-01,Senior Engineer
220131,Development,Reinhard,Slaats,1965-01-09,1994-06-08,9999-01-01,Senior Engineer
220418,Sales,Poorav,Laventhal,1965-01-23,1997-08-16,9999-01-01,Staff
220528,Research,Sibyl,Rabehasaina,1965-01-06,1998-02-23,9999-01-01,Senior Staff
220582,Marketing,Poornachandra,Zielinski,1965-01-08,1996-02-13,9999-01-01,Senior Staff
220611,Sales,Yuping,Babb,1965-01-23,1995-01-31,9999-01-01,Senior Staff
220625,Production,Shigenori,Deville,1965-01-25,1992-12-24,9999-01-01,Technique Leader
220699,Customer Service,Nahid,Gyimothy,1965-01-07,1995-08-18,9999-01-01,Staff
220799,Research,Perla,Orlowska,1965-01-17,1998-10-13,9999-01-01,Senior Engineer
221126,Development,Tesuya,dAstous,1965-01-23,1988-11-29,9999-01-01,Engineer
221367,Customer Service,Saddek,Farris,1965-01-13,1990-11-06,9999-01-01,Senior Staff
221369,Quality Management,Abdulah,Pocchiola,1965-01-28,1996-08-28,9999-01-01,Engineer
221435,Production,Djenana,Marrevee,1965-01-06,1994-02-06,9999-01-01,Senior Engineer
221973,Marketing,Sangeeta,Kalefeld,1965-01-17,1990-06-06,9999-01-01,Senior Staff
222206,Human Resources,Stein,Uludag,1965-01-21,1988-01-30,9999-01-01,Senior Staff
222311,Development,Miyeon,Billingsley,1965-01-20,1992-12-05,9999-01-01,Senior Engineer
222319,Development,Matt,Chvatal,1965-01-20,1994-11-09,9999-01-01,Senior Engineer
